source,sector,year,flow_stage,amount_usd
adb_iati,11110,2018,commitment,168584000.0
adb_iati,11110,2018,disbursement,8000000.0
adb_iati,11110,2019,disbursement,22293382.19
adb_iati,11110,2020,disbursement,25163515.86
adb_iati,11110,2021,disbursement,30018823.099999998
adb_iati,11110,2022,commitment,201000000.0
adb_iati,11110,2022,disbursement,19983353.05
adb_iati,11110,2023,disbursement,25192110.869999997
adb_iati,11110,2024,disbursement,51477847.17
adb_iati,11110,2025,disbursement,37276186.24
adb_iati,11110,2026,disbursement,1310394.81
adb_iati,11220,2015,commitment,200000000.0
adb_iati,11220,2015,disbursement,10310000.0
adb_iati,11220,2016,disbursement,12640576.68
adb_iati,11220,2017,disbursement,34007866.31
adb_iati,11220,2018,disbursement,62507664.66
adb_iati,11220,2019,disbursement,38536582.47
adb_iati,11220,2020,disbursement,6985160.850000001
adb_iati,11320,2016,commitment,120000000.0
adb_iati,11320,2016,disbursement,14999999.99
adb_iati,11320,2017,disbursement,20000000.0
adb_iati,11320,2018,disbursement,8000000.0
adb_iati,11320,2019,disbursement,20000000.009999998
adb_iati,11320,2020,disbursement,20161176.54
adb_iati,11320,2021,disbursement,19271800.8
adb_iati,11320,2022,disbursement,11203483.14
adb_iati,11330,2015,disbursement,3057273.9899999998
adb_iati,11330,2016,disbursement,4576124.68
adb_iati,11330,2017,disbursement,298027.57
adb_iati,11330,2019,disbursement,287824.55
adb_iati,12220,2020,commitment,250000000.0
adb_iati,12220,2020,disbursement,250000000.0
adb_iati,13040,2021,commitment,165000000.0
adb_iati,13040,2021,disbursement,42141664.02
adb_iati,13040,2022,disbursement,-6702867.069999999
adb_iati,13040,2023,disbursement,48627116.269999996
adb_iati,13040,2024,disbursement,420329.55
adb_iati,14015,2015,disbursement,2283594.67
adb_iati,14015,2016,disbursement,3648305.4400000004
adb_iati,14015,2017,disbursement,5379091.43
adb_iati,14015,2018,disbursement,4491987.04
adb_iati,14015,2019,disbursement,4521157.37
adb_iati,14015,2020,disbursement,1070808.86
adb_iati,14015,2021,disbursement,531273.23
adb_iati,14015,2022,disbursement,1899953.74
adb_iati,14015,2023,disbursement,212388.1
adb_iati,14022,2015,disbursement,10310854.66
adb_iati,14022,2016,disbursement,9400192.17
adb_iati,14022,2017,disbursement,13219445.15
adb_iati,14022,2018,disbursement,10969509.64
adb_iati,14022,2019,disbursement,12595986.68
adb_iati,14022,2020,disbursement,5902650.98
adb_iati,14022,2021,disbursement,7675426.43
adb_iati,14022,2022,disbursement,5493884.31
adb_iati,14022,2023,disbursement,4945480.51
adb_iati,14022,2024,disbursement,2274065.7900000005
adb_iati,14022,2025,disbursement,5573222.45
adb_iati,14022,2026,disbursement,1482097.06
adb_iati,14031,2015,disbursement,25138437.5
adb_iati,14031,2016,disbursement,22807235.689999998
adb_iati,14031,2017,disbursement,24834098.32
adb_iati,14031,2018,commitment,130000000.0
adb_iati,14031,2018,disbursement,12112611.41
adb_iati,14031,2019,disbursement,20506538.939999998
adb_iati,14031,2020,disbursement,14605873.26
adb_iati,14031,2021,disbursement,18694800.68
adb_iati,14031,2022,disbursement,19378289.97
adb_iati,14031,2023,disbursement,15011739.87
adb_iati,14031,2024,disbursement,10098150.61
adb_iati,14031,2025,disbursement,3625716.54
adb_iati,14032,2015,commitment,3000000.0
adb_iati,15111,2023,commitment,100000000.0
adb_iati,15111,2023,disbursement,100000000.0
adb_iati,15111,2024,commitment,200000.0
adb_iati,15185,2016,disbursement,10000000.0
adb_iati,15185,2025,commitment,100000000.0
adb_iati,15185,2026,disbursement,100000000.0
adb_iati,16011,2022,commitment,12000000.0
adb_iati,16011,2024,disbursement,535376.73
adb_iati,16011,2025,disbursement,1068412.21
adb_iati,16011,2026,disbursement,13380.0
